Zone,weekday,hour,rides,avg_trip_miles,avg_fare,avg_driver_pay
Kingsbridge Heights,Friday,17,511,3.5010665362035227,21.184285714285714,18.476457925636005
Kingsbridge Heights,Friday,18,520,3.568130769230769,20.08776923076923,17.838903846153844
Kingsbridge Heights,Friday,19,534,3.891687265917603,18.979082397003744,17.42743445692884
Kingsbridge Heights,Friday,20,489,3.9138507157464213,17.430184049079756,15.958854805725972
Kingsbridge Heights,Friday,21,436,4.00773623853211,16.93577981651376,14.78697247706422
Kingsbridge Heights,Friday,22,527,3.872495256166983,15.968349146110056,14.120227703984819
Kingsbridge Heights,Friday,23,461,4.070466377440347,16.496160520607376,14.722017353579176
Kingsbridge Heights,Monday,0,178,4.05438202247191,16.602584269662923,15.276460674157304
Kingsbridge Heights,Monday,1,103,3.441456310679612,15.11747572815534,12.989320388349514
Kingsbridge Heights,Monday,2,61,5.222131147540984,20.102131147540984,17.314098360655738
Kingsbridge Heights,Monday,3,74,5.554067567567567,20.5972972972973,17.00972972972973
Kingsbridge Heights,Monday,4,80,6.8099625,25.460375,20.078625
Kingsbridge Heights,Monday,5,131,5.841824427480916,22.38862595419847,18.394732824427482
Kingsbridge Heights,Monday,6,235,4.63011914893617,20.967957446808512,17.22931914893617
Kingsbridge Heights,Monday,7,382,4.375413612565445,23.52871727748691,19.028403141361256
Kingsbridge Heights,Monday,8,427,3.853922716627635,18.92622950819672,16.256978922716627
Kingsbridge Heights,Monday,9,303,3.4533531353135314,17.083762376237623,14.227656765676565
Kingsbridge Heights,Monday,10,227,4.609859030837005,19.920528634361233,17.42079295154185
Kingsbridge Heights,Monday,11,231,4.150627705627706,18.97930735930736,16.22095238095238
Kingsbridge Heights,Monday,12,246,4.967231707317073,21.651747967479675,18.682967479674797
Kingsbridge Heights,Monday,13,286,4.163867132867133,19.078636363636363,16.360314685314687
Kingsbridge Heights,Monday,14,362,3.77553591160221,18.397127071823206,16.070607734806632
Kingsbridge Heights,Monday,15,349,4.3481432664756445,21.023610315186247,18.058567335243552
Kingsbridge Heights,Monday,16,350,3.8251028571428574,18.616342857142858,16.944542857142856
Kingsbridge Heights,Monday,17,345,3.5818463768115945,18.05333333333333,16.098028985507245
Kingsbridge Heights,Monday,18,287,3.426108013937282,16.074599303135887,14.55494773519164
Kingsbridge Heights,Monday,19,292,3.4965890410958904,16.199554794520548,14.475924657534247
Kingsbridge Heights,Monday,20,246,4.092487804878049,16.4209756097561,15.058902439024392
Kingsbridge Heights,Monday,21,201,3.3523532338308457,14.684228855721393,13.190945273631842
Kingsbridge Heights,Monday,22,231,4.182385281385281,16.445281385281387,14.900649350649351
Kingsbridge Heights,Monday,23,213,4.421361502347418,17.413145539906104,15.831079812206573
Kingsbridge Heights,Saturday,0,358,3.445460893854748,14.846564245810056,12.942877094972067
Kingsbridge Heights,Saturday,1,238,3.7035294117647055,15.427394957983193,13.146974789915966
Kingsbridge Heights,Saturday,2,167,3.820718562874251,15.21562874251497,13.61754491017964
Kingsbridge Heights,Saturday,3,126,4.043563492063492,15.97563492063492,13.967301587301588
Kingsbridge Heights,Saturday,4,127,6.043834645669292,21.65299212598425,18.60251968503937
Kingsbridge Heights,Saturday,5,168,4.783321428571428,18.897738095238097,15.311190476190477
Kingsbridge Heights,Saturday,6,275,5.409690909090909,21.588545454545457,17.321345454545455
Kingsbridge Heights,Saturday,7,346,4.724031791907515,19.00343930635838,16.064710982658962
Kingsbridge Heights,Saturday,8,420,4.29187380952381,17.572095238095237,15.448261904761905
Kingsbridge Heights,Saturday,9,373,4.459664879356568,18.533458445040214,16.165174262734585
Kingsbridge Heights,Saturday,10,394,3.9437335025380706,17.208959390862944,15.06258883248731
Kingsbridge Heights,Saturday,11,396,3.790987373737374,16.92310606060606,14.90411616161616
Kingsbridge Heights,Saturday,12,446,3.860910313901345,17.395582959641256,15.644349775784754
Kingsbridge Heights,Saturday,13,420,4.378926190476191,19.5725,17.298666666666666
Kingsbridge Heights,Saturday,14,450,3.8608711111111114,18.24362222222222,16.291177777777776
Kingsbridge Heights,Saturday,15,481,4.228777546777547,18.65101871101871,17.11814968814969
Kingsbridge Heights,Saturday,16,457,3.6849168490153175,17.38015317286652,16.39945295404814
Kingsbridge Heights,Saturday,17,497,3.7168832997987926,17.969758551307844,16.33959758551308
Kingsbridge Heights,Saturday,18,521,3.8918982725527833,18.328042226487522,16.416641074856045
