zone,total_trips,avg_fare,avg_fare_per_mile,avg_driver_pay,avg_take_rate_pct,avg_driver_share_pct,avg_tip_pct,avg_speed_mph
Fordham South,32723,18.444628548727195,7.854702050546726,14.614614185740917,21.62683156218619,78.3731684378138,1.223013252132478,11.872943863353534
Forest Hills,127119,21.24807912271179,7.038267385572325,16.132144997994004,25.042727565330498,74.95727243466949,5.3291789418542015,14.15043489693241
Forest Park/Highland Park,1933,21.15854112778065,6.791484820497907,16.21412829798241,24.17061753843589,75.82938246156411,3.686514846036755,14.329294159384474
Fort Greene,117975,24.97959152362789,8.255473821014874,18.430811104047468,25.26315257277732,74.73684742722268,4.857671110075273,11.582719068812212
Fresh Meadows,17411,22.20596059962093,5.845067741900461,16.855211647808858,24.680797513685537,75.31920248631445,3.6266043138199535,16.983018802640803
Freshkills Park,571,23.308108581436077,5.84008103499649,16.721541155866902,28.794330169032214,71.20566983096778,6.19772142278484,20.342959340216442
Garment District,94817,40.12316451691152,11.728318190997792,25.979202041827943,34.559275864732435,65.44072413526757,6.257623540829403,12.933349272780696
Glen Oaks,17521,26.70189201529593,5.633847129694213,20.34846584099081,24.224200492781797,75.7757995072182,4.179055307776896,19.676403529689267
Glendale,44875,20.0152626183844,7.274515405201207,15.398754763231198,23.918413467221413,76.08158653277859,4.118410300662601,12.302577999212403
Governor's Island/Ellis Island/Liberty Island,4,25.8675,5.140880915537286,20.585,16.959913253839844,83.04008674616016,0.0,15.110753436155608
Gowanus,42654,23.167443850518122,8.063161386523845,17.268881933699067,25.713999701123292,74.2860002988767,6.878571580144133,11.77537024984898
Gramercy,130610,29.06068180078095,10.338947826699979,19.701325243090114,31.815828022735367,68.18417197726463,5.147752608988073,11.497473372596325
Gravesend,28764,19.133627450980395,7.0056575281198,14.73226741760534,24.671508758157373,75.32849124184261,3.6555108191595282,13.82490470133258
Great Kills,13846,24.10424599162213,6.449949819665661,17.851446627184746,27.720964475591526,72.27903552440847,6.181267622458039,16.35554994219326
Great Kills Park,26,48.62538461538462,5.287747073327311,34.64076923076923,26.60350054564811,73.39649945435188,8.894369460281611,20.504077718167373
Green-Wood Cemetery,594,21.079225589225587,7.86415737131557,15.628569023569025,27.512023836546476,72.48797616345352,6.5489163532880035,12.454322896143932
Greenpoint,181366,24.05609684284816,7.941395719687206,17.508571176515996,27.110538544219583,72.88946145578042,5.107544694135222,12.174382446699122
Greenwich Village North,101078,30.278411029106234,11.652691099867905,19.81604048358693,34.49572652326521,65.5042734767348,5.3331136393305805,10.548278055856445
Greenwich Village South,111031,29.993595032018085,11.387418461762753,19.715584926732173,34.163369993590166,65.83663000640983,4.597595331675165,11.090619640059876
Grymes Hill/Clifton,14276,19.853143037265337,6.498394522976606,15.128582235920426,24.66365983336128,75.33634016663872,3.229045218292922,15.646420325265096
Hamilton Heights,73941,21.047380749516506,7.13612542508152,16.308639455782313,22.822776353695613,77.1772236463044,4.134204832482258,13.916461279503329
Hammels/Arverne,26699,24.05201543128956,7.3341070572268015,18.86482115435035,24.10690254928929,75.89309745071071,2.274155059919479,14.043756727993053
Heartland Village/Todt Hill,17827,24.80528916811578,5.760605398673018,18.682724518988053,24.449360443332278,75.55063955666772,4.669771516312424,17.015244768318766
Highbridge,52981,19.25306694852872,7.274511891995666,15.142803835337197,21.770043875101965,78.22995612489804,1.2049703452145095,13.586364947317888
Highbridge Park,1243,22.033869670152853,6.998078932985885,17.084199517296863,22.450375802123006,77.54962419787698,2.946396253845807,15.297095445234273
Hillcrest/Pomonok,39599,22.070918962600064,6.336752690736786,17.096514810980075,23.477941181107433,76.52205881889256,3.0950462997809782,15.192901245189852
Hollis,22619,20.33358769176356,6.810066041144111,15.748902250320526,24.288293591455115,75.71170640854488,1.863780748261479,14.449797239451465
Homecrest,62450,18.196244195356286,8.53012741889791,13.713483907125699,25.866728448885446,74.13327155111455,3.1482486248331507,10.890638761406299
Howard Beach,29467,21.57537550480198,6.3395339186727595,16.22616859537788,26.34720724085488,73.65279275914513,3.507038407603549,16.017662738129694
Hudson Sq,64114,34.12220388682659,11.48374797698097,21.70525501450541,36.065219216171975,63.934780783828025,5.266188209362371,11.882239420968107
Hunts Point,48678,18.714010641357493,6.8881220133354235,14.778080036155965,21.883994158160515,78.1160058418395,1.374642592621781,13.876330139013886
Inwood,59733,21.58387055731338,6.917812250916548,16.785573468601946,22.698738107787474,77.30126189221254,3.064591022406774,15.537822081977081
Inwood Hill Park,5198,24.11248941900731,6.685814737902525,18.30102924201616,23.87963613338132,76.12036386661867,4.509754284234615,15.295170504295143
JFK Airport,292510,75.73587484188575,4.631003865287866,53.66463303818673,26.545683523516338,73.45431647648367,5.1112841532835525,24.858269467725496
Jackson Heights,140592,18.632386835666324,7.51232802896228,14.473399482189597,23.775242089726234,76.22475791027377,3.374044420007729,12.410928304460818
Jamaica,130429,20.504998811613984,6.971108985863569,16.245118186906286,22.261349043224293,77.7386509567757,2.428858891154482,13.420409736589711
Jamaica Bay,26,27.396153846153844,4.865132575254619,21.88923076923077,22.17078147030015,77.82921852969984,1.8498916355184218,18.772388829477674
Jamaica Estates,29425,22.40972608326253,6.452998414059274,16.976558028887,24.911648147844602,75.0883518521554,2.9841376838410345,16.361283309122683
Kensington,34253,21.266448194318748,7.385161193635481,16.56890520538347,22.6666922601902,77.3333077398098,4.936849004340337,12.227805700105861
Kew Gardens,42703,21.456703510292016,6.702176995639071,16.18475048591434,25.435291662309425,74.56470833769058,4.753494901115126,15.572597531161685
Kew Gardens Hills,32701,22.379882878199446,6.476180563820092,17.002480046481757,24.915833423469596,75.08416657653041,3.589242751582776,15.293854979231982
Kingsbridge Heights,41522,19.66646813737296,7.452196117741857,15.435315977072394,22.65579509448999,77.34420490551001,1.7315542083787723,13.193931510026236
Kips Bay,93015,26.796504972316296,8.516424856599615,19.46914755684567,27.932561565852623,72.06743843414738,4.698980003187926,13.289532739118702
LaGuardia Airport,327663,57.46956952722766,5.452783899719341,39.71386009406005,28.38175147597803,71.61824852402196,7.883416066826358,21.618602691365698
Laurelton,37641,19.513855901809197,6.928170447231471,14.795352408278207,26.548855628556403,73.4511443714436,2.0887342456729083,15.413525096427069
